,en,en_href,rating,dinner,lunch,holiday,area_genre,message
14,Creperie Alcyon,https://tabelog.com/tw/osaka/A2701/A270202/27003897/,3.73,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",-,"難波車站 / 可麗餅/法式薄餅, 咖啡店, 法式小酒館",1857
15,Cacao Sampaka Daimaru Umeda Ten,https://tabelog.com/tw/osaka/A2701/A270101/27055936/,3.73,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"大阪車站 / 巧克力, 咖啡店",876
16,Creperie Stand Chandeleur Umeda Ten,https://tabelog.com/tw/osaka/A2701/A270101/27053125/,3.72,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"大阪梅田車站 / 可麗餅/法式薄餅, 咖啡店, 法式料理",1243
17,Echua Karahori Kura Honten,https://tabelog.com/tw/osaka/A2701/A270204/27000958/,3.72,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三,"松屋町車站 / 巧克力, 咖啡店, 三明治",1062
18,Osaka Naniwaya,https://tabelog.com/tw/osaka/A2701/A270101/27069919/,3.72,～JPY 999,～JPY 999,星期一,"中崎町車站 / 日式甜點店, 鯛魚燒・大判燒, 剉冰",925
19,LE PINEAU Kitahorie Honten,https://tabelog.com/tw/osaka/A2701/A270201/27001030/,3.72,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"西大橋車站 / 蛋糕, 咖啡店",856
20,Delicius pasticceria Oosakaten,https://tabelog.com/tw/osaka/A2701/A270101/27010561/,3.72,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,大阪車站 / 蛋糕,686
21,Alcyon Hozenji Honten,https://tabelog.com/tw/osaka/A2701/A270202/27001538/,3.71,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",-,"難波車站 / 蛋糕, 咖啡店",1023
22,Les Petites Papillotes,https://tabelog.com/tw/osaka/A2701/A270102/27064714/,3.71,-,～JPY 999,星期一、星期二,"肥後橋車站 / 巧克力, 咖啡店, 蛋糕",475
23,Patisserie Chocolaterie Ordinaire,https://tabelog.com/tw/osaka/A2701/A270201/27076593/,3.71,～JPY 999,～JPY 999,星期三、星期四,"櫻川車站 / 蛋糕, 巧克力, 咖啡店",462
24,Cacaotier Gokan Koraibashi Honten,https://tabelog.com/tw/osaka/A2701/A270102/27089982/,3.70,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"北濱車站 / 咖啡店, 蛋糕, 巧克力",817
25,Zeroku Honmachi Ten,https://tabelog.com/tw/osaka/A2701/A270106/27001820/,3.70,～JPY 999,～JPY 999,星期日、節假日,"堺筋本町車站 / 喫茶店, 意式冰淇淋/冰淇淋, 咖啡店",796
26,Hiraoka Coffee Ten,https://tabelog.com/tw/osaka/A2701/A270106/27000071/,3.70,～JPY 999,～JPY 999,星期一、星期二,"本町車站 / 喫茶店, 咖啡店, 甜甜圈",645
27,Deiribashi Kintsuba Ya,https://tabelog.com/tw/osaka/A2701/A270108/27003802/,3.70,"JPY 1,000～JPY 1,999",～JPY 999,星期日、節假日,"福島車站 / 日式點心, 日式甜點店",602
28,patisserie accueil,https://tabelog.com/tw/osaka/A2701/A270201/27079456/,3.70,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二,"西大橋車站 / 蛋糕, 巧克力, 咖啡店",433
29,Delicius Mino Mototen,https://tabelog.com/tw/osaka/A2706/A270603/27004930/,3.69,～JPY 999,～JPY 999,星期二,"北千里車站 / 蛋糕, 年輪蛋糕",718
30,BRETONNE Hankyu Umeda Honten,https://tabelog.com/tw/osaka/A2701/A270101/27068956/,3.69,～JPY 999,-,-,梅田車站 / 西式甜點,586
31,joel,https://tabelog.com/tw/osaka/A2701/A270102/27015193/,3.69,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期日,"淀屋橋車站 / 蛋糕, 巧克力, 西式甜點",421
32,Louloutte,https://tabelog.com/tw/osaka/A2701/A270102/27075939/,3.69,～JPY 999,-,星期一、星期二,"中之島車站 / 麵包, 西式甜點",379
33,Takoriki,https://tabelog.com/tw/osaka/A2701/A270204/27054352/,3.69,"JPY 10,000～JPY 14,999","JPY 1,000～JPY 1,999",星期一,"松屋町車站 / 章魚燒, 餐吧, 西式甜點",260
34,Umaiya,https://tabelog.com/tw/osaka/A2701/A270103/27000533/,3.68,～JPY 999,～JPY 999,星期二,"天神橋筋六丁目車站 / 章魚燒, 剉冰",1036
35,Kitahama Retro,https://tabelog.com/tw/osaka/A2701/A270102/27000121/,3.68,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"北濱車站 / 咖啡店, 蛋糕, 三明治",1018
36,Danke Shinsaibashi,https://tabelog.com/tw/osaka/A2701/A270201/27053278/,3.68,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"心齋橋車站 / 喫茶店, 咖啡店, 西式甜點",553
37,Matsushita kitchen,https://tabelog.com/tw/osaka/A2701/A270204/27066981/,3.68,～JPY 999,～JPY 999,-,"玉造車站 / 西式甜點, 剉冰, 咖啡店",480
38,Cante Grande Bakery,https://tabelog.com/tw/osaka/A2701/A270101/27005149/,3.68,-,～JPY 999,-,"中津車站 / 麵包, 三明治, 西式甜點",433
39,Patisserie La Plage,https://tabelog.com/tw/osaka/A2701/A270104/27003644/,3.68,～JPY 999,-,星期日,谷町四丁目車站 / 蛋糕,417
40,Kotikaze,https://tabelog.com/tw/osaka/A2701/A270204/27009604/,3.68,-,"JPY 1,000～JPY 1,999",-,"玉造車站 / 咖啡店, 日本料理, 日式點心",351
41,Kikujudo Yoshinobu,https://tabelog.com/tw/osaka/A2701/A270102/27014624/,3.68,-,～JPY 999,星期六、星期日、節假日,"北濱車站 / 日式點心, 日式甜點店, 大福麻糬",310
42,LA PATISSERIE KATSURA,https://tabelog.com/tw/osaka/A2701/A270104/27115899/,3.68,～JPY 999,～JPY 999,星期一,天滿橋車站 / 西式甜點,309
43,Patisserie Rechercher,https://tabelog.com/tw/osaka/A2701/A270105/27114044/,3.68,-,-,星期一、星期二,"西長堀車站 / 蛋糕, 巧克力",263
44,Rashansen,https://tabelog.com/tw/osaka/A2701/A270102/27099780/,3.67,"JPY 10,000～JPY 14,999","JPY 1,000～JPY 1,999",節假日,"肥後橋車站 / 中國菜, 酒吧, 中式點心",793
45,Shouchiku Dou Suita Yamada Honten,https://tabelog.com/tw/osaka/A2706/A270602/27003885/,3.67,-,"JPY 2,000～JPY 2,999",星期三,"萬博紀念公園車站 / 日式點心, 大福麻糬",447
46,CHOCOLATERIE PATISSERIE SOLILITE,https://tabelog.com/tw/osaka/A2701/A270102/27088791/,3.67,～JPY 999,～JPY 999,星期二,"肥後橋車站 / 巧克力, 蛋糕",269
47,Poussin,https://tabelog.com/tw/osaka/A2701/A270201/27017230/,3.67,～JPY 999,-,星期日、節假日,"西大橋車站 / 布丁, 西式甜點, 甜點",246
48,Restaurant et Patisserie js,https://tabelog.com/tw/osaka/A2701/A270108/27100580/,3.67,"JPY 10,000～JPY 14,999","JPY 10,000～JPY 14,999",星期一,"新福島車站 / 法式料理, 法式小酒館, 西式甜點",67
49,Yamaguchi Kudamono,https://tabelog.com/tw/osaka/A2701/A270204/27004780/,3.66,-,"JPY 1,000～JPY 1,999",-,"谷町六丁目車站 / 水果聖代, 剉冰, 果汁吧攤",657
50,Alcyon,https://tabelog.com/tw/osaka/A2701/A270103/27002602/,3.66,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"天神橋筋六丁目車站 / 蛋糕, 麵包",338
51,Honneri Kwashi Suiren isshin,https://tabelog.com/tw/osaka/A2701/A270106/27061962/,3.66,-,-,-,"堺筋本町車站 / 日式點心, 日式甜點店",306
52,LAFCA,https://tabelog.com/tw/osaka/A2701/A270103/27076768/,3.66,-,-,星期一、星期二、星期三、星期四、星期日,"櫻之宮車站 / 蛋糕, 巧克力",234
53,Angetsu,https://tabelog.com/tw/osaka/A2701/A270201/27013829/,3.66,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",-,心齋橋車站 / 日式點心,199
54,Gokan Kitahama Honkan,https://tabelog.com/tw/osaka/A2701/A270102/27003404/,3.65,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",-,"北濱車站 / 蛋糕, 日式點心, 咖啡店",1555
55,Shima Ya Hon Ten,https://tabelog.com/tw/osaka/A2701/A270203/27002721/,3.65,～JPY 999,-,-,"阿倍野車站 / 烤地瓜/拔絲地瓜, 日式點心",472
56,Chihiro Kashiten,https://tabelog.com/tw/osaka/A2701/A270201/27112367/,3.65,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"西大橋車站 / 西式甜點, 甜點",394
57,The Ritz Carlton Gourmet Shop,https://tabelog.com/tw/osaka/A2701/A270101/27011129/,3.65,"JPY 1,000～JPY 1,999",-,-,"西梅田車站 / 蛋糕, 麵包, 巧克力",343
58,Melissa,https://tabelog.com/tw/osaka/A2701/A270108/27007267/,3.65,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",-,"中之島車站 / 麵包, 蛋糕, 小菜",335
59,LEAI Tanimachiten,https://tabelog.com/tw/osaka/A2701/A270204/27004715/,3.65,～JPY 999,～JPY 999,星期一、星期二、星期三,"谷町六丁目車站 / 麵包, 蛋糕, 咖啡店",328
60,Awagen,https://tabelog.com/tw/osaka/A2701/A270404/27038382/,3.65,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期六、星期日、節假日,住吉東車站 / 日式點心,311
61,Atmos Dining,https://tabelog.com/tw/osaka/A2701/A270102/27097666/,3.65,"JPY 8,000～JPY 9,999","JPY 6,000～JPY 7,999",-,"渡邊橋車站 / 西式自助餐, 義大利料理, 甜點",301
62,Patisserie Crochet,https://tabelog.com/tw/osaka/A2701/A270108/27076035/,3.65,"JPY 1,000～JPY 1,999",-,星期一、星期二,"Fukushima車站 / 蛋糕, 甜點",291
63,YAMAMOTO KASHITEN,https://tabelog.com/tw/osaka/A2701/A270201/27061840/,3.65,～JPY 999,-,-,"西大橋車站 / 蛋糕, 巧克力",179
64,POIRE Tezukayama Honten,https://tabelog.com/tw/osaka/A2701/A270203/27002327/,3.64,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"姬松車站 / 蛋糕, 麵包, 咖啡店",563
65,RUGGERI,https://tabelog.com/tw/osaka/A2701/A270202/27058934/,3.64,～JPY 999,～JPY 999,星期三,"難波車站 / 意式冰淇淋/冰淇淋, 咖啡店, 甜點",414
66,Mori no Okashi,https://tabelog.com/tw/osaka/A2701/A270101/27076922/,3.64,"JPY 1,000～JPY 1,999",-,-,大江橋車站 / 日式點心,304
67,Daman Lumiere Takashimaya Osaka Ten,https://tabelog.com/tw/osaka/A2701/A270202/27055738/,3.63,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",-,"難波車站 / 咖啡店, 法式料理, 甜點",331
68,Mori no Ohagi,https://tabelog.com/tw/osaka/A2706/A270601/27051361/,3.63,～JPY 999,-,星期一、星期日,岡町車站 / 日式點心,323
69,Patisserie de ESAKA SIROP D'ERABLE,https://tabelog.com/tw/osaka/A2706/A270602/27015447/,3.63,～JPY 999,-,星期三,"江坂車站 / 蛋糕, 巧克力",307
70,Honke Kojima,https://tabelog.com/tw/osaka/A2705/A270501/27013627/,3.63,-,-,星期一,宿院車站 / 日式點心,208
71,Okashi Tsukasa Takaoka Fukunobu,https://tabelog.com/tw/osaka/A2701/A270102/27017423/,3.63,"JPY 1,000～JPY 1,999",-,星期日、節假日,肥後橋車站 / 日式點心,207
72,Recla,https://tabelog.com/tw/osaka/A2701/A270108/27011291/,3.63,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",-,"中之島車站 / 巧克力, 蛋糕",195
73,Fournier,https://tabelog.com/tw/osaka/A2705/A270502/27016975/,3.63,-,-,-,"和泉中央車站 / 麵包, 三明治, 西式甜點",191
74,TIKAL by Cacao en Masse,https://tabelog.com/tw/osaka/A2701/A270102/27017672/,3.63,-,"JPY 3,000～JPY 3,999",星期一、星期日,"淀屋橋車站 / 巧克力, 蛋糕",166
75,Daniel Rukua Ten,https://tabelog.com/tw/osaka/A2701/A270101/27057272/,3.62,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"大阪車站 / 蛋糕, 西式甜點",639
76,PHILO&CO.,https://tabelog.com/tw/osaka/A2701/A270101/27125203/,3.62,-,"JPY 1,000～JPY 1,999",星期二、星期三,"中之島車站 / 蛋糕, 西式甜點, 咖啡店",188
77,Patisserie Rielg,https://tabelog.com/tw/osaka/A2707/A270703/27043645/,3.62,-,"JPY 1,000～JPY 1,999",星期一、星期二、星期日、節假日、節假日前、節假日後,"東花園車站 / 蛋糕, 西式甜點, 咖啡店",175
78,Al Roikku Hankyu Umeda Honten,https://tabelog.com/tw/osaka/A2701/A270101/27068730/,3.61,～JPY 999,～JPY 999,-,"梅田車站 / 意式冰淇淋/冰淇淋, 可麗餅/法式薄餅, 咖啡店",466
79,Kadoya,https://tabelog.com/tw/osaka/A2701/A270304/27002992/,3.61,～JPY 999,～JPY 999,星期一、星期二,"千林大宮車站 / 日式甜點店, 意式冰淇淋/冰淇淋, 剉冰",440
80,GARuRu KO-RI,https://tabelog.com/tw/osaka/A2701/A270101/27091193/,3.61,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,中崎町車站 / 剉冰,440
81,GUFO,https://tabelog.com/tw/osaka/A2701/A270201/27092229/,3.61,～JPY 999,～JPY 999,星期三,"四橋車站 / 霜淇淋, 咖啡店",380
82,Hokkyoku Nanba Honten,https://tabelog.com/tw/osaka/A2701/A270202/27002810/,3.61,～JPY 999,～JPY 999,-,"難波車站 / 意式冰淇淋/冰淇淋, 鯛魚燒・大判燒",366
83,Tawanico,https://tabelog.com/tw/osaka/A2701/A270104/27092778/,3.61,-,"JPY 1,000～JPY 1,999",-,"天滿橋車站 / 咖啡店, 蛋糕, 西式甜點",291
84,Rihga Royal Hotel Main Lounge,https://tabelog.com/tw/osaka/A2701/A270108/27011908/,3.61,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"中之島車站 / 咖啡店, 甜點",271
85,Sumiyoshi Kaan Kikushu,https://tabelog.com/tw/osaka/A2701/A270404/27015228/,3.61,～JPY 999,-,-,"住吉車站 / 日式點心, 銅鑼燒",228
86,Yaogen Raikodo Honten,https://tabelog.com/tw/osaka/A2705/A270501/27012513/,3.61,～JPY 999,～JPY 999,星期日,花田口車站 / 日式點心,157
87,CAFE BAHNHOF,https://tabelog.com/tw/osaka/A2701/A270108/27002691/,3.61,～JPY 999,～JPY 999,星期一、星期二、星期日,"玉川車站 / 咖啡店, 蛋糕",140
88,Marunaka Kashiten,https://tabelog.com/tw/osaka/A2701/A270107/27070181/,3.61,～JPY 999,"JPY 1,000～JPY 1,999",星期一、星期二、節假日,"森之宮車站 / 蛋糕, 咖啡店",135
89,hannoc,https://tabelog.com/tw/osaka/A2701/A270101/27121787/,3.60,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"中崎町車站 / 咖啡店, 蛋糕",539
90,Masahiko Ozumi Paris,https://tabelog.com/tw/osaka/A2701/A270104/27130313/,3.60,"JPY 1,000～JPY 1,999",-,星期三,天滿橋車站 / 蛋糕,437
91,Gelateria Rikarika,https://tabelog.com/tw/osaka/A2705/A270501/27051101/,3.60,～JPY 999,～JPY 999,-,"三國丘車站 / 意式冰淇淋/冰淇淋, 咖啡店",416
92,cocoo cafe,https://tabelog.com/tw/osaka/A2701/A270106/27031667/,3.60,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"本町車站 / 咖啡店, 剉冰",180
93,Cafe Weg,https://tabelog.com/tw/osaka/A2701/A270105/27019962/,3.60,-,"JPY 1,000～JPY 1,999",星期二,"西長堀車站 / 喫茶店, 咖啡店, 西式甜點",138
94,Seiyo Chakan,https://tabelog.com/tw/osaka/A2701/A270103/27002275/,3.59,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"扇町車站 / 喫茶店, 咖啡店, 蛋糕",631
95,Whitebird coffee stand,https://tabelog.com/tw/osaka/A2701/A270101/27082635/,3.59,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"東梅田車站 / 咖啡店, 蛋糕",610
96,ELMERS GREEN CAFE,https://tabelog.com/tw/osaka/A2701/A270102/27043334/,3.59,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"北濱車站 / 咖啡店, 西式甜點",377
97,SANWA COFFEE WORKS Tenma Honten,https://tabelog.com/tw/osaka/A2701/A270103/27081385/,3.59,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"天神橋筋六丁目車站 / 咖啡店, 蛋糕, 咖啡攤",252
98,Mori no Rakuda,https://tabelog.com/tw/osaka/A2701/A270104/27049547/,3.59,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期日,"谷町四丁目車站 / 咖啡店, 蛋糕",229
99,The Grand Cafe,https://tabelog.com/tw/osaka/A2701/A270101/27007876/,3.58,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999",-,"西梅田車站 / 咖啡店, 義大利料理, 蛋糕",596
